state,evidence_based_only,abstinence_only
Alabama,871179,1733140
Alaska,350000,0
Arizona,4692427,4630108
Arkansas,590831,850782
California,69704638,8494302
Colorado,970766,2058294
Connecticut,659911,449989
Delaware,349954,166938
District of Columbia,3373684,393481
Florida,6255068,9188493
Georgia,9518430,5979558
Hawaii,350000,176567
Idaho,417135,314702
Illinois,3611623,2412966
Indiana,2155000,2113354
Iowa,1992801,516925
Kansas,100000,462131
Kentucky,2987459,1147277
Louisiana,3227780,2878920
Maine,350000,158576
Maryland,4703863,1326193
Massachusetts,3125636,867686
Michigan,4812212,2509116
Minnesota,2433102,773429
Mississippi,2053630,2227103
Missouri,1064675,2604852
Montana,350000,184753
Nebraska,429397,286977
Nevada,571578,645390
New Hampshire,350000,85247
New Jersey,1823813,1676933
New Mexico,1397787,651631
New York,12247647,5751698
North Carolina,4393204,120133
North Dakota,100000,0
Ohio,3190373,3509217
Oklahoma,4931676,1491606
Oregon,2455803,1065590
Pennsylvania,5496518,3132783
Rhode Island,350000,135571
South Carolina,7398329,1607400
South Dakota,320000,901345
Tennessee,2866969,1900652
Texas,10573825,11996717
Utah,1902064,513639
Vermont,350000,54815
Virginia,3146967,1376062
Washington,3380437,900000
West Virginia,1785521,838929
Wisconsin,2161353,941547
Wyoming,250000,80534